,排名,学校名称,省市,类型,总分
220,220,烟台大学,山东,综合,140.1
221,222,桂林电子科技大学,广西,理工,139.5
222,223,东莞理工学院,广东,理工,138.6
223,224,郑州轻工业大学,河南,理工,138.4
224,225,武汉轻工大学,湖北,理工,137.9
225,225,西藏大学,西藏,综合,137.9
226,227,北京农学院,北京,农业,137.8
227,228,佛山科学技术学院,广东,综合,137.4
228,229,北京电子科技学院,北京,理工,137.1
229,229,厦门理工学院,福建,理工,137.1
230,231,上海应用技术大学,上海,理工,137
231,232,鲁东大学,山东,综合,136.7
232,232,西安邮电大学,陕西,理工,136.7
233,234,兰州交通大学,甘肃,理工,136.6
234,235,沈阳工业大学,辽宁,理工,136.4
235,236,东北石油大学,黑龙江,理工,136
236,237,江汉大学,湖北,综合,135.9
237,238,内蒙古农业大学,内蒙古,农业,135.7
238,239,山东建筑大学,山东,理工,135.5
239,240,东华理工大学,江西,理工,135.2
240,241,华北水利水电大学,河南,理工,135.1
241,242,桂林理工大学,广西,理工,134.9
242,243,集美大学,福建,综合,134.8
243,243,沈阳化工大学,辽宁,理工,134.8
244,245,青岛农业大学,山东,农业,134.6
245,246,贵州师范大学,贵州,师范,133.9
246,247,西华师范大学,四川,师范,133
247,248,青海大学,青海,综合,132.6
248,249,辽宁工业大学,辽宁,理工,132.2
249,250,山东理工大学,山东,理工,132
250,251,青岛理工大学,山东,理工,131.6
251,252,安徽建筑大学,安徽,理工,131.5
252,253,江西理工大学,江西,理工,131.3
253,254,信阳师范学院,河南,师范,130.6
254,255,西华大学,四川,综合,130.5
255,256,山西师范大学,山西,师范,130.4
256,257,西安石油大学,陕西,理工,130
257,258,西安工程大学,陕西,理工,129.7
258,259,湖南工业大学,湖南,理工,129.5
259,260,内蒙古工业大学,内蒙古,理工,129.2
260,261,北京印刷学院,北京,理工,128.9
261,262,新疆师范大学,新疆,师范,128.3
262,263,北京联合大学,北京,综合,127.9
263,263,西安工业大学,陕西,理工,127.9
264,265,湖州师范学院,浙江,师范,127.6
265,266,成都大学,四川,综合,127.4
266,267,吉首大学,湖南,综合,127
267,268,南京工程学院,江苏,理工,126.8
268,269,北京石油化工学院,北京,理工,126.6
269,270,辽宁工程技术大学,辽宁,理工,126.5
270,271,吉林师范大学,吉林,师范,126
271,272,上海海关学院,上海,综合,125.5
272,273,绍兴文理学院,浙江,师范,124.5
273,274,南宁师范大学,广西,师范,124.4
274,275,合肥学院,安徽,理工,124.3
275,276,河北工程大学,河北,理工,123.8
276,276,辽宁科技大学,辽宁,理工,123.8
277,278,湖北师范大学,湖北,师范,123.7
278,278,沈阳理工大学,辽宁,理工,123.7
279,280,内蒙古师范大学,内蒙古,师范,123.4
280,281,云南农业大学,云南,农业,123.2
281,282,聊城大学,山东,综合,122.8
282,283,长春工业大学,吉林,理工,122.7
283,284,新疆农业大学,新疆,农业,122.5
284,285,大连海洋大学,辽宁,农业,122.2
285,286,中原工学院,河南,理工,122.1
286,287,安徽工程大学,安徽,理工,121.8
287,288,甘肃农业大学,甘肃,农业,121.7
288,289,辽宁石油化工大学,辽宁,理工,120.5
289,290,景德镇陶瓷大学,江西,理工,120.2
290,291,山西农业大学,山西,农业,119.6
291,292,天津城建大学,天津,理工,119.5
292,292,浙江科技学院,浙江,理工,119.5
293,294,赣南师范大学,江西,师范,119.2
294,295,广东技术师范大学,广东,师范,119.1
295,296,安庆师范大学,安徽,师范,119
296,297,江苏理工学院,江苏,理工,118.5
297,297,宁波工程学院,浙江,理工,118.5
298,299,盐城师范学院,江苏,师范,118.3
299,300,淮北师范大学,安徽,师范,118.2
300,301,沈阳大学,辽宁,综合,118
301,302,重庆科技学院,重庆,理工,117.8
302,303,嘉兴学院,浙江,综合,117.7
303,304,西南林业大学,云南,林业,117.3
304,305,淮阴师范学院,江苏,师范,117.1
305,306,盐城工学院,江苏,理工,117
306,307,五邑大学,广东,综合,116.5
307,308,常熟理工学院,江苏,综合,116.4
308,309,广东海洋大学,广东,农业,116.1
309,310,上海第二工业大学,上海,理工,115.9
310,311,福建工程学院,福建,理工,115.6
311,312,大理大学,云南,综合,115.2
312,313,四川轻化工大学,四川,理工,114.9
313,314,黑龙江八一农垦大学,黑龙江,农业,113.6
314,314,内蒙古科技大学,内蒙古,综合,113.6
315,316,延安大学,陕西,综合,113.5
316,317,天津农学院,天津,农业,113.3
317,318,内蒙古民族大学,内蒙古,综合,112.8
318,318,天津职业技术师范大学,天津,师范,112.8
319,320,闽江学院,福建,理工,112.3
320,321,湖南理工学院,湖南,理工,112.2
321,322,淮阴工学院,江苏,理工,111.9
322,322,江西科技师范大学,江西,师范,111.9
323,324,江苏海洋大学,江苏,理工,111.8
324,324,闽南师范大学,福建,师范,111.8
325,326,黑龙江科技大学,黑龙江,理工,111.6
326,327,北华大学,吉林,综合,111.5
327,328,仲恺农业工程学院,广东,农业,111.4
328,329,太原科技大学,山西,理工,111.2
329,330,南昌工程学院,江西,理工,110.5
330,331,长江师范学院,重庆,师范,110.4
331,332,南京晓庄学院,江苏,师范,109.9
332,333,湖北科技学院,湖北,综合,109.7
333,334,台州学院,浙江,综合,109.1
334,335,重庆文理学院,重庆,综合,108.8
335,336,金陵科技学院,江苏,综合,108.5
336,337,临沂大学,山东,综合,107.8
337,338,湖北文理学院,湖北,综合,107.7
338,338,吉林建筑大学,吉林,理工,107.7
339,340,齐齐哈尔大学,黑龙江,综合,107.2
340,341,河北科技师范学院,河北,师范,107
341,342,青海师范大学,青海,师范,106.6
342,343,浙江万里学院,浙江,理工,106.5
343,344,安阳师范学院,河南,师范,105.7
344,345,江苏第二师范学院,江苏,师范,105
345,346,长沙学院,湖南,理工,104.7
